"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","scientificname","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","decimallatitude","decimallongitude","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris","base"
"1","URN:CornellLabOfOrnithology:EBIRD:OBS710784503","2019-02-15 14:34:03",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2003-09-10","09:00:00","obsr601274","S52729375","Historical","P62","EBIRD",NA,NA,NA,3,1,"",0,1,0,"","Mirante dos Golfinhos e trilha at̩ o Sancho","",134,10,1,"eBird"
"2","URN:CornellLabOfOrnithology:EBIRD:OBS858828212","2020-02-01 15:44:38",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois Irṃos","L8017336","H",-3.8541464,-32.4423055,"2011-02-15","06:45:00","obsr511116","S64015289","Stationary","P21","EBIRD",120,NA,NA,1,1,"",0,1,0,"","","",762,3,1,"eBird"
"3","URN:CornellLabOfOrnithology:EBIRD:OBS858832110","2020-02-01 15:51:42",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois Irṃos","L8017336","H",-3.8541464,-32.4423055,"2011-02-16","08:29:00","obsr511116","S64015628","Stationary","P21","EBIRD",180,NA,NA,1,1,"",0,1,0,"","","",760,8,1,"eBird"
"4","URN:CornellLabOfOrnithology:EBIRD:OBS858807042","2020-02-01 15:04:31",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois Irṃos","L8017336","H",-3.8541464,-32.4423055,"2011-03-14","07:50:00","obsr511116","S64013194","Stationary","P21","EBIRD",45,NA,NA,1,1,"",0,1,0,"","","",779,6,1,"eBird"
"5","URN:CornellLabOfOrnithology:EBIRD:OBS519839063","2020-05-21 12:14:45",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3.8517,-32.4399)","L6104104","P",-3.851706,-32.439886,"2017-07-19","14:00:00","obsr848039","S38224042","Traveling","P22","EBIRD",120,1.931,NA,1,1,"",0,1,1,"","","",1742,9,1,"eBird"
"6","URN:CornellLabOfOrnithology:EBIRD:OBS1049525734","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia da Atalaia","L8061900","H",-3.8558812,-32.4070483,"2017-09-30","08:15:00","obsr628528","S79084547","Traveling","P22","EBIRD_BRA",120,1.5,NA,2,1,"",1,1,0,"","","",1792,13,1,"eBird"
"7","URN:CornellLabOfOrnithology:EBIRD:OBS540218054","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","P ","C3","P ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante do Sancho- (-3.854, -32.442)","L6340132","P",-3.8543525,-32.4422993,"2017-10-09","08:32:00","obsr537362","S39825860","Traveling","P22","EBIRD_BRA",147,6.41,NA,3,1,"",0,1,0,"","Com meu pai ̩ o guia Jọo Paulo","",1810,5,1,"eBird"
"8","URN:CornellLabOfOrnithology:EBIRD:OBS871171522","2020-02-27 14:07:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante","L10605804","P",-3.8521,-32.4421,"2018-03-24","","obsr674492","S65183114","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",1993,2,1,"eBird"
"9","URN:CornellLabOfOrnithology:EBIRD:OBS616366332","2018-07-05 16:13:23",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","H ","C2","H ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Trilha Capim-A̤u, Pernambuco, BR (-3,879, -32,459)","L7394827","P",-3.8787269,-32.459239,"2018-05-12","15:07:00","obsr945091","S45592829","Traveling","P22","EBIRD",70,8.884,NA,4,1,"",0,1,0,"","","11",2015,7,1,"eBird"
"10","URN:CornellLabOfOrnithology:EBIRD:OBS622648361","2018-07-05 16:13:23",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","33","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3,8797,-32,4581)","L7455340","P",-3.879655,-32.458073,"2018-05-12","14:54:00","obsr640234","S45959269","Traveling","P22","EBIRD",60,2,NA,1,1,"",0,1,0,"","","",2016,12,1,"eBird"
