"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris"
"454","URN:CornellLabOfOrnithology:EBIRD:OBS119805909","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"1995-03-03","","obsr266046","S8326219","Incidental","P20","EBIRD",NA,NA,NA,4,0,"",0,1,0,"","","",14,3,1
"2090","URN:CornellLabOfOrnithology:EBIRD:OBS72737541","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-02-07","08:00:00","obsr26981","S5167370","Traveling","P22","EBIRD",540,4.828,NA,15,1,"",0,1,0,"","Noronha vireo abundant","",91,15,1
"3247","URN:CornellLabOfOrnithology:EBIRD:OBS871195899","2020-02-27 14:27:41",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-07-06","","obsr832574","S65196624","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",127,2,1
"3399","URN:CornellLabOfOrnithology:EBIRD:OBS710818135","2020-05-29 16:28:42",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Açude do Xaréu","L5007230","H",-3.8666667,-32.4283333,"2003-09-10","10:00:00","obsr601274","S52731557","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,"","Com Robson Silva e Silva","",133,6,1
"3400","URN:CornellLabOfOrnithology:EBIRD:OBS710784503","2019-02-15 14:34:03",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2003-09-10","09:00:00","obsr601274","S52729375","Historical","P62","EBIRD",NA,NA,NA,3,1,"",0,1,0,"","Mirante dos Golfinhos e trilha até o Sancho","",134,10,1
"3953","URN:CornellLabOfOrnithology:EBIRD:OBS135838583","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","15","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-12-31","06:00:00","obsr235798","S9559854","Historical","P62","EBIRD",720,8.047,NA,1,1,"",0,1,0,"","Full day on the island, including a short boat trip to see spinner dolphins","",153,17,1
"3954","URN:CornellLabOfOrnithology:EBIRD:OBS135838551","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","8","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-12-29","","obsr235798","S9559852","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,"","","",154,13,1
"3955","URN:CornellLabOfOrnithology:EBIRD:OBS135838567","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","75","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2003-12-30","06:00:00","obsr235798","S9559853","Historical","P62","EBIRD",720,8.047,NA,1,1,"",0,1,1,"","Full day on the island","Carefully counted the vireos over most of the island during the day.",152,16,1
"4187","URN:CornellLabOfOrnithology:EBIRD:OBS135838603","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","10","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2004-01-01","","obsr235798","S9559855","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,"","","",163,20,1
"11036","URN:CornellLabOfOrnithology:EBIRD:OBS368949928","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2005-10-21","","obsr162357","S27142717","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,"","","",332,7,1
"11037","URN:CornellLabOfOrnithology:EBIRD:OBS368949566","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","5","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2005-10-18","","obsr162357","S27142677","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,"","","",334,5,1
"11038","URN:CornellLabOfOrnithology:EBIRD:OBS368949571","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Ponta da Air France","L8069742","H",-3.8312451,-32.398655,"2005-10-23","","obsr162357","S27142678","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,"","","",335,6,1
"17174","URN:CornellLabOfOrnithology:EBIRD:OBS249486284","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2008-01-21","07:00:00","obsr412230","S18156794","Incidental","P20","EBIRD_CAN",NA,NA,NA,2,1,"",0,1,0,"","No birding today. We spent the morning on the beach and in the ocean at Praia da Conceição. After lunch in town, and an afternoon nap, we took an evening walk to the Praia do Boldró.","abundant and widespread",523,8,1
"17175","URN:CornellLabOfOrnithology:EBIRD:OBS249485667","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","9","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2008-01-20","15:00:00","obsr412230","S18156755","Incidental","P20","EBIRD_CAN",NA,NA,NA,2,1,"",0,1,0,"","Incidental observations during our honeymoon. Arrived mid-afternoon, transferred to our pousada, the Beco de Noronha.","1 seen at the airport; as many as 8 birds moving about in the yard at the Beco de Noronha.",524,4,1
"17176","URN:CornellLabOfOrnithology:EBIRD:OBS249488480","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2008-01-22","07:00:00","obsr412230","S18156921","Incidental","P20","EBIRD_CAN",NA,NA,NA,2,1,"",0,1,0,"","Rented a buggy for the day (R$120). We first visited the Açude do Xaréu, from 09h45 to 10h20. Then checked out a number of lookouts and such: Caracas, Leão, Cacimba do Padre. Lunch. Then returned to the Praia do Leão (after checking out Air France), where we spent the lion's share of the afternoon swimming and lounging. A foray to the Mirante do Sancho was preceded by a short return visit to the Açude do Xaréu.","",522,18,1
"18426","URN:CornellLabOfOrnithology:EBIRD:OBS869860164","2020-02-25 10:44:22",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2008-10-18","","obsr127100","S65013908","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",583,1,1
"18427","URN:CornellLabOfOrnithology:EBIRD:OBS869860165","2020-02-25 10:44:22",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2008-10-28","","obsr127100","S65013909","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",584,1,1
"20453","URN:CornellLabOfOrnithology:EBIRD:OBS370457077","2022-04-14 07:35:55.26046",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2010-08-08","","obsr162357","S27266415","Historical","P62","EBIRD",NA,NA,NA,5,1,"",0,1,0,"","","",721,6,1
"21043","URN:CornellLabOfOrnithology:EBIRD:OBS858828212","2020-02-01 15:44:38",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois Irmãos","L8017336","H",-3.8541464,-32.4423055,"2011-02-15","06:45:00","obsr511116","S64015289","Stationary","P21","EBIRD",120,NA,NA,1,1,"",0,1,0,"","","",762,3,1
"21044","URN:CornellLabOfOrnithology:EBIRD:OBS858832110","2020-02-01 15:51:42",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois Irmãos","L8017336","H",-3.8541464,-32.4423055,"2011-02-16","08:29:00","obsr511116","S64015628","Stationary","P21","EBIRD",180,NA,NA,1,1,"",0,1,0,"","","",760,8,1
"21198","URN:CornellLabOfOrnithology:EBIRD:OBS858807042","2020-02-01 15:04:31",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois Irmãos","L8017336","H",-3.8541464,-32.4423055,"2011-03-14","07:50:00","obsr511116","S64013194","Stationary","P21","EBIRD",45,NA,NA,1,1,"",0,1,0,"","","",779,6,1
"21199","URN:CornellLabOfOrnithology:EBIRD:OBS842113570","2019-12-25 21:50:04",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Cachorro","L8031040","H",-3.8394805,-32.4108943,"2011-03-13","16:40:00","obsr511116","S62625502","Stationary","P21","EBIRD",30,NA,NA,1,1,"",0,1,0,"","","",784,3,1
"23060","URN:CornellLabOfOrnithology:EBIRD:OBS522117101","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2012-08-12","07:00:00","obsr517895","S38397499","Historical","P62","EBIRD",1440,1,NA,1,1,"",0,1,0,"","","",852,17,1
"24473","URN:CornellLabOfOrnithology:EBIRD:OBS666576732","2021-02-25 18:30:35.493582",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2013-07-03","06:30:00","obsr403476","S49182055","Traveling","P22","EBIRD",120,3,NA,2,1,"",1,1,0,"","","",914,11,1
"24702","URN:CornellLabOfOrnithology:EBIRD:OBS660946288","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2013-12-10","06:43:00","obsr623245","S48779629","Historical","P62","EBIRD",600,5,NA,1,1,"",1,1,0,"","","",929,20,1
"25180","URN:CornellLabOfOrnithology:EBIRD:OBS290101320","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2014-08-13","09:30:00","obsr556494","S21271887","Incidental","P20","EBIRD",NA,NA,NA,1,1,"",0,1,0,"","","anywhere with bushes, trees, e.g., top of Bahia do Sancho",1008,14,1
"25181","URN:CornellLabOfOrnithology:EBIRD:OBS290100443","2018-07-05 16:10:00",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Praia do Cachorro, Fernando de Noronha","L3280647","P",-3.8392886,-32.4112816,"2014-08-14","14:30:00","obsr556494","S21271813","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","","",1007,4,1
"25205","URN:CornellLabOfOrnithology:EBIRD:OBS375981252","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2014-09-23","06:30:00","obsr656534","S27734291","Historical","P62","EBIRD_BRA",480,NA,NA,2,1,"",0,1,0,"","","",1010,10,1
"25206","URN:CornellLabOfOrnithology:EBIRD:OBS468021408","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2014-09-09","08:00:00","obsr656534","S34574818","Incidental","P20","EBIRD_BRA",NA,NA,NA,2,0,"",0,1,0,"","","",1009,10,1
"25742","URN:CornellLabOfOrnithology:EBIRD:OBS333883637","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","10","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2015-01-17","08:15:00","obsr618568","S24422947","Traveling","P22","EBIRD",260,8,NA,1,1,"",0,1,0,"","","",1049,16,1
"27607","URN:CornellLabOfOrnithology:EBIRD:OBS1206514336","2021-09-09 12:46:15.28829",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2015-08-23","10:00:00","obsr655803","S92268867","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","","",1162,16,1
"31572","URN:CornellLabOfOrnithology:EBIRD:OBS389466842","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","20","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2016-04-08","09:36:00","obsr294601","S28818405","Traveling","P22","EBIRD",494,1.5,NA,1,1,"",1,1,0,"","<br />Submitted from eBird for iOS, version 1.1.5 Build 44","Comun",1319,15,1
"31919","URN:CornellLabOfOrnithology:EBIRD:OBS402728975","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha","L5765258","P",-3.852865,-32.4079943,"2016-05-14","11:54:00","obsr640234","S29651173","Traveling","P22","EBIRD",422,5,NA,1,1,"",1,1,0,"","","",1328,18,1
"31920","URN:CornellLabOfOrnithology:EBIRD:OBS403575661","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2016-05-14","07:00:00","obsr761524","S29696728","Traveling","P22","EBIRD",300,50,NA,1,1,"",0,1,0,"","","",1329,6,1
"31921","URN:CornellLabOfOrnithology:EBIRD:OBS403694359","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha","L4607970","P",-3.8516076,-32.4155688,"2016-05-14","06:00:00","obsr757924","S29702964","Traveling","P22","EBIRD",750,10,NA,1,1,"",0,1,0,"","","",1326,23,1
"32611","URN:CornellLabOfOrnithology:EBIRD:OBS421099640","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2016-07-31","10:00:00","obsr427634","S30925010","Traveling","P22","EBIRD",120,2,NA,1,1,"",0,1,0,"","<br />Submitted from eBird for iOS, version 1.2.3 Build 71","",1367,9,1
"32612","URN:CornellLabOfOrnithology:EBIRD:OBS657513828","2018-10-23 23:05:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2016-07-21","06:30:00","obsr431609","S48533964","Historical","P62","EBIRD",300,12,NA,1,1,"",1,1,0,"","","",1365,14,1
"32887","URN:CornellLabOfOrnithology:EBIRD:OBS422345709","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","8","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2016-08-03","08:00:00","obsr427634","S31018137","Traveling","P22","EBIRD",240,5,NA,2,1,"",0,1,0,"","<br />Submitted from eBird for iOS, version 1.2.5 Build 73","",1377,17,1
"36654","URN:CornellLabOfOrnithology:EBIRD:OBS459041497","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","30","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2017-01-20","10:00:00","obsr788416","S33818560","Traveling","P22","EBIRD_BRA",360,3.219,NA,2,1,"",0,1,0,"","","",1610,13,1
"37999","URN:CornellLabOfOrnithology:EBIRD:OBS933006718","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2017-03-31","","obsr623830","S69729560","Historical","P62","EBIRD_BRA",NA,NA,NA,NA,1,"",1,1,0,"","","",1658,23,1
"39844","URN:CornellLabOfOrnithology:EBIRD:OBS519839063","2020-05-21 12:14:45",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3.8517,-32.4399)","L6104104","P",-3.851706,-32.439886,"2017-07-19","14:00:00","obsr848039","S38224042","Traveling","P22","EBIRD",120,1.931,NA,1,1,"",0,1,1,"","","",1742,9,1
"40763","URN:CornellLabOfOrnithology:EBIRD:OBS1049525734","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia da Atalaia","L8061900","H",-3.8558812,-32.4070483,"2017-09-30","08:15:00","obsr628528","S79084547","Traveling","P22","EBIRD_BRA",120,1.5,NA,2,1,"",1,1,0,"","","",1792,13,1
"41330","URN:CornellLabOfOrnithology:EBIRD:OBS540218054","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","P ","C3","P ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante do Sancho- (-3.854, -32.442)","L6340132","P",-3.8543525,-32.4422993,"2017-10-09","08:32:00","obsr537362","S39825860","Traveling","P22","EBIRD_BRA",147,6.41,NA,3,1,"",0,1,0,"","Com meu pai é o guia João Paulo","",1810,5,1
"41331","URN:CornellLabOfOrnithology:EBIRD:OBS540219051","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","P ","C3","P ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"ICMBio Fernando de Noronha - (-3.85, -32.425)","L6340145","P",-3.8495908,-32.4254937,"2017-10-09","07:02:00","obsr537362","S39825936","Stationary","P21","EBIRD_BRA",72,NA,NA,4,1,"",0,1,0,"","Com meus pais e o guia João Paulo","",1817,4,1
"41332","URN:CornellLabOfOrnithology:EBIRD:OBS539631987","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","H ","C2","H ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Venda de Ingressos do PNMFN - (-3.846, -32.411)","L6334040","P",-3.8457051,-32.4111981,"2017-10-08","16:12:00","obsr537362","S39782287","Stationary","P21","EBIRD_BRA",12,NA,NA,3,1,"",0,1,0,"","Com meus pais","",1816,4,1
"41333","URN:CornellLabOfOrnithology:EBIRD:OBS564087555","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2017-10-11","09:00:00","obsr308901","S41632739","Traveling","P22","EBIRD",360,10,NA,6,1,"",0,1,0,"","","",1807,17,1
"41334","URN:CornellLabOfOrnithology:EBIRD:OBS540181270","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2017-10-10","09:00:00","obsr308901","S39822942","Traveling","P22","EBIRD",300,10,NA,6,1,"",0,1,0,"","","",1812,14,1
"41335","URN:CornellLabOfOrnithology:EBIRD:OBS540219223","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Pousada da Maga - (-3.847, -32.411)","L6340147","P",-3.8467608,-32.4108852,"2017-10-08","16:04:00","obsr537362","S39825960","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",1815,2,1
"41336","URN:CornellLabOfOrnithology:EBIRD:OBS539631897","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","T ","C3","T ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Morro do Forte - (-3.838, -32.411)","L6334039","P",-3.8381288,-32.4106223,"2017-10-08","16:42:00","obsr537362","S39782282","Stationary","P21","EBIRD_BRA",15,NA,NA,3,1,"",0,1,0,"","Com meus pais ","",1818,3,1
"44748","URN:CornellLabOfOrnithology:EBIRD:OBS622648738","2021-09-22 12:17:56.262562",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","10","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--área geral","L1177580","H",-3.8567187,-32.4275208,"2018-01-13","16:44:00","obsr640234","S45959297","Traveling","P22","EBIRD",180,4,NA,1,1,"",0,1,0,"","","",1969,18,1
"45110","URN:CornellLabOfOrnithology:EBIRD:OBS871171522","2020-02-27 14:07:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante","L10605804","P",-3.8521,-32.4421,"2018-03-24","","obsr674492","S65183114","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",1993,2,1
"45409","URN:CornellLabOfOrnithology:EBIRD:OBS616366332","2018-07-05 16:13:23",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","H ","C2","H ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Trilha Capim-Açu, Pernambuco, BR (-3,879, -32,459)","L7394827","P",-3.8787269,-32.459239,"2018-05-12","15:07:00","obsr945091","S45592829","Traveling","P22","EBIRD",70,8.884,NA,4,1,"",0,1,0,"","","11",2015,7,1
"45410","URN:CornellLabOfOrnithology:EBIRD:OBS622648361","2018-07-05 16:13:23",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","33","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3,8797,-32,4581)","L7455340","P",-3.879655,-32.458073,"2018-05-12","14:54:00","obsr640234","S45959269","Traveling","P22","EBIRD",60,2,NA,1,1,"",0,1,0,"","","",2016,12,1
