"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris"
"62871","URN:CornellLabOfOrnithology:EBIRD:OBS798762068","2021-02-11 18:00:02.198671",7422,"species","avibase-4807686B","Lesser Yellow-headed Vulture","Cathartes burrovianus","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Praia de Muro Alto","L9843721","H",-8.4512744,-34.984314,"2019-08-07","11:00:00","obsr747085","S59297870","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",1,1,0,"","","",3220,4,0
"63008","URN:CornellLabOfOrnithology:EBIRD:OBS811519625","2019-10-09 17:15:05",5716,"species","avibase-AE459A9B","Southern Lapwing","Vanellus chilensis","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"São Bento do Una--área geral","L9974232","H",-8.5227563,-36.4438095,"2019-08-24","15:30:00","obsr1452859","S60249970","Historical","P62","EBIRD",120,1,1,2,1,"",1,1,0,"","","",3221,1,0
"63090","URN:CornellLabOfOrnithology:EBIRD:OBS1028435356","2020-12-13 19:20:56.762115",15617,"species","avibase-E7BECBF1","Alagoas Tyrannulet","Phylloscartes ceciliae","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas--Torre","L10179549","H",-8.7026819,-35.8553637,"2019-09-01","06:00:00","obsr160876","S77456035","Stationary","P21","EBIRD",180,NA,NA,2,0,"G6001352",0,1,0,"","","",3222,1,0
"63091","URN:CornellLabOfOrnithology:EBIRD:OBS1017657259","2020-12-13 19:20:56.762115",15617,"species","avibase-E7BECBF1","Alagoas Tyrannulet","Phylloscartes ceciliae","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas--Torre","L10179549","H",-8.7026819,-35.8553637,"2019-09-01","06:00:00","obsr553694","S76682021","Stationary","P21","EBIRD",180,NA,NA,2,0,"G6001352",0,1,0,"","","",3223,1,0
"63092","URN:CornellLabOfOrnithology:EBIRD:OBS810831199","2022-03-01 20:54:17.821909",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"56330-290, Petrolina BR-PE (-9,3883,-40,5000)","L8585592","P",-9.388334,-40.500001,"2019-09-29","07:01:00","obsr518938","S60201127","Traveling","P22","EBIRD",26,2.238,NA,1,0,"",0,1,0,"","","",3224,15,0
"63093","URN:CornellLabOfOrnithology:EBIRD:OBS805434354","2021-03-31 16:03:06.353309",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"142 Avenida Luís Gomes, Pernambuco, BR (-8.013, -34.846)","L9914776","P",-8.0133677,-34.8458563,"2019-09-14","15:56:00","obsr155017","S59801152","Traveling","P22","EBIRD",99,1.42,NA,3,1,"",0,1,0,"","Olinda afternoon. Partly cloudy, onshore wind, temps in mid 70s ","",3225,11,0
"63094","URN:CornellLabOfOrnithology:EBIRD:OBS802389512","2021-09-09 19:06:46.287347",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas","L3628125","H",-8.6963418,-35.8592033,"2019-09-01","05:21:00","obsr160876","S59576427","Traveling","P22","EBIRD",164,2.768,NA,1,1,"",0,1,0,"","","",3226,38,0
"63095","URN:CornellLabOfOrnithology:EBIRD:OBS801820973","2021-03-31 16:03:06.353309",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Parque Estadual de Dois Irmãos","L1525514","H",-8.0105639,-34.9473989,"2019-09-03","14:47:00","obsr605308","S59533602","Traveling","P22","EBIRD",124,2,NA,1,1,"",0,1,0,"","","",3227,33,0
"63096","URN:CornellLabOfOrnithology:EBIRD:OBS806977095","2020-02-19 14:53:59",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","5","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas--Jardim dos beija-flores","L6490085","H",-8.693673,-35.856795,"2019-09-18","09:00:00","obsr677024","S59914570","Stationary","P21","EBIRD",180,NA,NA,2,1,"",0,1,0,"","","",3228,34,0
"63097","URN:CornellLabOfOrnithology:EBIRD:OBS806031195","2019-09-17 05:51:49",34494,"species","avibase-B78F2D6F","Bananaquit","Coereba flaveola","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"102 Rua Henrique Dias, Pernambuco, BR (-8.058, -34.896)","L9921790","P",-8.0580183,-34.895647,"2019-09-16","05:10:00","obsr155017","S59844350","Stationary","P21","EBIRD",7,NA,NA,1,1,"",0,1,0,"","From hotel room","",3229,8,0
